feature,mi_score
LPT_eff_mod_median,2.181835298432429
LPT_eff_mod_band1_energy,0.5106014460800848
LPT_eff_mod_std,0.44043157606699834
HPT_eff_mod_std,0.4224563904913287
LPT_flow_mod_band1_energy,0.3546121382271162
LPT_flow_mod_std,0.3349539340565933
HPT_eff_mod_band1_energy,0.2429138964052162
T48_median,0.11826743090439933
P30_bandwidth,0.1116272036628548
Nc_median,0.10415058106475605
T24_bandwidth,0.10314407898722999
Nc_ptp,0.09947631418806901
T24_diff_std,0.09631730415371124
Nc_diff_std,0.08935346555191022
TRA_max,0.08737063406592209
Nf_skew,0.08671047230319395
TRA_min,0.08618607862613874
LPT_flow_mod_slope,0.08080867218370995
Nc_slope,0.07891256359162495
LPT_eff_mod_slope,0.06636997654743837
T48_ptp,0.06620146177687965
T48_skew,0.0661113134539167
P30_iqr,0.06478834849062472
Nf_spectral_centroid,0.06146829951768762
Wf_bandwidth,0.05265322707349185
HPT_eff_mod_slope,0.0525509339981145
T48_spectral_entropy,0.04576929913348563
T48_mean,0.04468071715758167
T2_min,0.03925667587797458
Nc_iqr,0.033518870377958386
Nf_ptp,0.03227120062268588
Nc_bandwidth,0.03157113660998897
Nf_mean,0.02945071079462173
T48_kurtosis,0.024095256361335693
P30_r2,0.0222737989020166
alt_min,0.020897174418541997
Nc_diff_mean,0.0191008294419223
T48_bandwidth,0.017008332902333834
Nc_skew,0.01503765113091804
T48_spectral_centroid,0.01266529854028553
alt_max,0.010975272269048967
T48_peak_count,0.00900864238601029
Mach_min,0.005846854392115593
Nc_mean,0.005381047141570505
T2_max,0.00486613408365022
Wf_iqr,0.0039387201213663126
P30_mean,0.0016903759030633125
Nf_r2,0.0013775740262721807
Nf_median,0.001057206326634012
LPT_flow_mod_bandwidth,0.0
Nc_peak_freq,0.0
LPT_eff_mod_peak_count,0.0
LPT_eff_mod_ptp,0.0
LPT_eff_mod_iqr,0.0
Nc_band1_energy,0.0
Nc_band2_energy,0.0
P30_std,0.0
LPT_eff_mod_diff_mean,0.0
LPT_flow_mod_band3_energy,0.0
LPT_flow_mod_band2_energy,0.0
Nc_band3_energy,0.0
LPT_flow_mod_spectral_entropy,0.0
LPT_flow_mod_spectral_centroid,0.0
LPT_flow_mod_peak_freq,0.0
LPT_eff_mod_r2,0.0
LPT_eff_mod_peak_freq,0.0
LPT_eff_mod_diff_std,0.0
LPT_flow_mod_diff_mean,0.0
LPT_eff_mod_spectral_centroid,0.0
LPT_eff_mod_spectral_entropy,0.0
Nc_std,0.0
LPT_eff_mod_band2_energy,0.0
LPT_eff_mod_band3_energy,0.0
LPT_eff_mod_bandwidth,0.0
Nf_band3_energy,0.0
Nf_band2_energy,0.0
Nf_peak_freq,0.0
Mach_max,0.0
Nf_kurtosis,0.0
Nf_iqr,0.0
LPT_flow_mod_diff_std,0.0
T24_skew,0.0
LPT_flow_mod_r2,0.0
HPT_eff_mod_peak_count,0.0
P30_ptp,0.0
P30_kurtosis,0.0
T48_band3_energy,0.0
P30_peak_freq,0.0
P30_band2_energy,0.0
P30_band3_energy,0.0
T48_band2_energy,0.0
Wf_peak_freq,0.0
Wf_band2_energy,0.0
Wf_band3_energy,0.0
T48_peak_freq,0.0
T48_diff_std,0.0
HPT_eff_mod_iqr,0.0
HPT_eff_mod_ptp,0.0
T24_band3_energy,0.0
P30_median,0.0
HPT_eff_mod_r2,0.0
HPT_eff_mod_diff_mean,0.0
HPT_eff_mod_diff_std,0.0
HPT_eff_mod_peak_freq,0.0
HPT_eff_mod_spectral_centroid,0.0
HPT_eff_mod_spectral_entropy,0.0
T24_band2_energy,0.0
HPT_eff_mod_band2_energy,0.0
HPT_eff_mod_band3_energy,0.0
HPT_eff_mod_bandwidth,0.0
T24_peak_freq,0.0
LPT_flow_mod_iqr,0.0
LPT_flow_mod_ptp,0.0
LPT_flow_mod_peak_count,0.0
Wf_spectral_centroid,0.0
